Layer,  Layer Height [mm], Area [mm²], Contours [mm], Hatches [mm]
     88,    -0.210,     3091.50,     6334.23,        0.00
     89,    -0.200,     3091.40,     6334.29,        0.00
     90,    -0.195,     3188.42,     6431.68,        0.00
     91,    -0.180,     3188.33,     6431.74,        0.00
     92,    -0.165,     3188.25,     6431.78,        0.00
     93,    -0.150,     3188.19,     6431.82,        0.00
     94,    -0.135,     3188.14,     6431.85,        0.00
     95,    -0.120,     3188.11,     6431.88,        0.00
     96,    -0.105,     3188.08,     6431.90,        0.00
     97,    -0.100,     3188.05,     6431.92,        0.00
     98,    -0.090,     3252.15,     7103.27,        0.00
     99,    -0.075,     3252.13,     7103.28,        0.00
    100,    -0.060,     3252.11,     7103.29,        0.00
    101,    -0.045,     3252.10,     7103.30,        0.00
    102,    -0.030,     3252.08,     7103.31,        0.00
    103,    -0.015,     3252.07,     7103.32,        0.00
    104,     0.000,     3317.94,     7182.92,        0.00
    105,     0.015,     3367.81,     6905.34,        0.00
    106,     0.030,     3301.09,     6738.58,        0.00
    107,     0.045,     3301.08,     6738.58,        0.00
    108,     0.060,     3301.07,     6738.58,        0.00
    109,     0.075,     3301.06,     6738.59,        0.00
    110,     0.090,     3301.06,     6738.59,        0.00
    111,     0.100,     3301.05,     6738.59,        0.00
    112,     0.105,     3194.89,     6652.46,        0.00
    113,     0.120,     3194.89,     6652.46,        0.00
    114,     0.135,     3194.88,     6652.46,        0.00
    115,     0.150,     3194.89,     6652.46,        0.00
    116,     0.165,     3194.89,     6652.46,        0.00
    117,     0.180,     3194.89,     6652.46,        0.00
    118,     0.195,     3194.90,     6652.46,        0.00
    119,     0.200,     3194.90,     6652.45,        0.00
    120,     0.210,     3042.02,     6503.41,        0.00
    121,     0.225,     3042.03,     6503.40,        0.00
    122,     0.240,     3042.04,     6503.40,        0.00
    123,     0.255,     3042.05,     6503.39,        0.00
    124,     0.270,     3042.06,     6503.39,        0.00
    125,     0.285,     3042.08,     6503.38,        0.00
    126,     0.300,     3042.09,     6503.38,        0.00
    127,     0.315,     2827.11,     6287.20,        0.00
    128,     0.330,     2827.13,     6287.19,        0.00
    129,     0.345,     2827.15,     6287.17,        0.00
    130,     0.360,     2827.17,     6287.16,        0.00
    131,     0.375,     2827.20,     6287.13,        0.00
    132,     0.390,     2827.24,     6287.10,        0.00
    133,     0.400,     2827.28,     6287.07,        0.00
    134,     0.405,     2547.66,     5982.00,        0.00
    135,     0.420,     2547.71,     5981.97,        0.00
    136,     0.435,     2547.78,     5981.93,        0.00
    137,     0.450,     2547.88,     5981.88,        0.00
    138,     0.465,     2547.99,     5981.82,        0.00
    139,     0.480,     2548.10,     5981.75,        0.00
    140,     0.495,     2548.22,     5981.65,        0.00
    141,     0.500,     2548.34,     5981.54,        0.00
    142,     0.510,     2203.13,     5571.20,        0.00
